Country Code	Nome	Ano	"Taxa de mortalidade (por 1000 pessoas)"	"Expectativa de vida à nascença (anos)"	"Desemprego de Longo Prazo (%)"	"Desemprego de Longo Prazo Feminino (%)"	"Long-term unemployment, male (% of male unemployment)"	"População entre os 0 e os 14 anos (%)"	"População entre os 15 e os 64 anos (%)"	"População com 65 anos ou mais (%)"	"Crescimento Populacional (% anual)"	"População Feminina (%)"	"População total"	"Desempregados com ensino básico (% do desemprego total)"	"Desempregados com ensino básico, mulheres (% do desemprego feminino total)"	"Unemployment with primary education, male (% of male unemployment)"	"Desempregados com ensino secundário (% do desemprego total)"	"Desempregados com ensino secundário, mulheres (% do desemprego feminino total)"	"Unemployment with secondary education, male (% of male unemployment)"	"Desempregados com ensino superior (% do desemprego total)"	"Desempregados com ensino superior, mulheres (% do desemprego feminino total)"	"Unemployment with tertiary education, male (% of male unemployment)"	"Desemprego, mulheres (% força de trabalho feminina)"	"Unemployment, male (% of male labor force)"	"Desemprego Total (%)"	"Desemprego, juventude feminina (% força de trabalho feminina entres os 15 e os 24 anos)"	"Desemprego jovem (% força de trabalho entres os 15 e os 24 anos)"
AUT	Austria	1973	12.2	71.01463415	0	0	0	24.08087986	61.44013791	14.47898222	0.554041399	52.90636505	7586115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1974	12.4	71.01219512	0	0	0	23.7207106	61.67890964	14.60037976	0.170205768	52.87081001	7599038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1975	12.7	71.11463415	0	0	0	23.30357684	61.9972528	14.69917036	-0.265319411	52.83733724	7578903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1976	12.6	71.56585366	0	0	0	22.77933031	62.31849244	14.90217725	-0.176672285	52.80606762	7565525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1977	12.2	71.91463415	0	0	0	22.24532385	62.67315733	15.08151882	0.038390494	52.77643146	7568430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1978	12.5	72.01219512	0	0	0	21.69065094	63.10022348	15.20912558	-0.080961042	52.74700646	7562305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1979	12.2	72.31219512	0	0	0	21.11243289	63.65004323	15.23752388	-0.170463648	52.71596163	7549425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1980	12.2	72.46341463	0	0	0	20.52670506	64.33166971	15.14162523	0.000105968	52.68190451	7549433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1981	12.2	72.81219512	0	0	0	19.98174829	65.00574713	15.01250458	0.255018231	52.64410037	7568710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUT	Austria	1982	12.1	72.96097561	0	0	0	19.46163353	65.78341398	14.75495249	0.071717018	52.60260402	7574140	0	0	0	0	0	0	0	0	0	4.300000191	2.799999952	3.299999952	6.400000095	4.300000191	5.199999809
AUT	Austria	1983	12.3	73.01219512	0	0	0	18.97616638	66.57806704	14.44576658	-0.161600981	52.55783165	7561910	0	0	0	0	0	0	0	0	0	5.099999905	3.5	4.099999905	7.900000095	4.699999809	6.099999905
AUT	Austria	1984	11.7	73.61219512	0	0	0	18.52978318	67.27280294	14.19741388	-0.006294904	52.51055621	7561434	0	0	0	0	0	0	0	0	0	3.599999905	3.900000095	3.799999952	5.300000191	4.900000095	5.099999905
AUT	Austria	1985	11.8	73.81463415	0	0	0	18.12326114	67.80244073	14.07429813	0.046950968	52.46121512	7564985	42.90000153	49.09999847	38.79999924	55	47.59999847	59.79999924	2.099999905	3.200000048	1.399999976	3.5	3.599999905	3.599999905	4.400000095	4.199999809	4.300000191
AUT	Austria	1986	11.5	74.31707317	0	0	0	17.84273829	68.03592699	14.12133472	0.063548997	52.41077547	7569794	44.40000153	50.5	40.59999847	54	47.29999924	58.29999924	1.5	2.200000048	1.100000024	3.099999905	3.200000048	3.099999905	4.400000095	3.5	3.900000095
AUT	Austria	1987	11.2	74.76829268	0	0	0	17.52757847	68.18719257	14.28522896	0.063284204	52.35877592	7574586	43.79999924	50	39.09999847	53.79999924	46.40000153	59.40000153	2.400000095	3.599999905	1.5	4.099999905	3.599999905	3.799999952	5.400000095	4.599999905	5
AUT	Austria	1988	11	75.21707317	0	0	0	17.23080953	68.25867628	14.51051419	0.14157085	52.30263636	7585317	39.70000076	43.29999924	36.79999924	56.90000153	52.90000153	60.29999924	3.400000095	3.799999952	2.900000095	4	3.299999952	3.599999905	5	4.199999809	4.599999905
AUT	Austria	1989	10.9	75.26585366	0	0	0	17.02259348	68.26353809	14.71386843	0.4505139	52.2389887	7619567	40.59999847	45.29999924	36.90000153	55.40000153	49.5	60.29999924	4	5.199999809	2.799999952	3.599999905	2.799999952	3.099999905	4.699999809	3.599999905	4.099999905
AUT	Austria	1990	10.8	75.56829268	0	0	0	16.94010215	68.21337272	14.84652513	0.762001611	52.16605414	7677850	39.20000076	43.5	35.70000076	57.79999924	53.59999847	61.40000153	3	2.900000095	2.900000095	3.599999905	3	3.200000048	3.799999952	3.799999952	3.799999952
AUT	Austria	1991	10.8	75.61707317	0	0	0	16.96303988	68.031692	15.00526812	0.998418103	52.08329492	7754891	37.59999847	44	32.70000076	58.59999847	52.29999924	63.5	3.400000095	3.099999905	3.700000048	3.5	3.299999952	3.400000095	3.400000095	4	3.700000048
AUT	Austria	1992	10.6	75.81707317	0	0	0	17.13633245	67.7640559	15.09961165	1.100552287	51.99332735	7840709	40.79999924	44.79999924	37.59999847	55.70000076	51.40000153	59.09999847	3.099999905	3.400000095	2.799999952	3.799999952	3.5	3.599999905	4	4.199999809	4.099999905
